"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.819108045194298,0.0883698889520019,0.0450363166164607,0.0790162046905607,0.660198373021558,0.975800059270114,0.627883949549869,0.440405153902248,0.811643678694963,0.293699315050617
0.185211349278688,0.416885134531185,0.172654811758548,0.440842889714986,0.640528937801719,0.666109008248895,0.0853056071791798,0.240054948953912,0.467915866989642,0.742068389430642
0.0633378063794225,0.756533115170896,0.374790744390339,0.290544982766733,0.050721786916256,0.293871430912986,0.696272531058639,0.889982080087066,0.380638052942231,0.877697480842471
0.10242598480545,0.877940053585917,0.447587953880429,0.582790283020586,0.382220270810649,0.918725482653826,0.665165675571188,0.494839361170307,0.698050543200225,0.627546616597101
0.256067904178053,0.403601782396436,0.705435211770236,0.779870819067582,0.100363577017561,0.748552487464622,0.17288156808354,0.733312763972208,0.777343853842467,0.00427427887916565
0.888620064826682,0.688615020597354,0.499719142448157,0.365305578103289,0.397710250690579,0.892061751103029,0.725130496313795,0.216697041876614,0.095184427453205,0.82824452384375
0.969543386250734,0.499074620893225,0.433341666823253,0.316220669541508,0.183405707357451,0.83578262780793,0.380368120037019,0.155959077179432,0.209611263126135,0.77439586725086
0.647799266967922,0.493380564730614,0.524176402483135,0.0566044598817825,0.0330785168334842,0.492738340515643,0.758415620308369,0.965693984180689,0.226955419871956,0.0863510402850807
0.370770571287721,0.385336482897401,0.276622919365764,0.571027127560228,0.514143971726298,0.295266960049048,0.146712866378948,0.469610852189362,0.334841075353324,0.419511266518384
0.602670770604163,0.762991831637919,0.275472834473476,0.654091692762449,0.780727816512808,0.937843901105225,0.822371168760583,0.20878064353019,0.506553489016369,0.95234903646633
0.22481231437996,0.484023147495463,0.905953949084505,0.780752153368667,0.352875777054578,0.495635715546086,0.415646639186889,0.166608036495745,0.750865307636559,0.687132687540725
0.482112329220399,0.201179942348972,0.551498001907021,0.594279274577275,0.54126756452024,0.392867830814794,0.604470623424277,0.869715704815462,0.370598349487409,0.115236609010026
0.047279468504712,0.335613945499063,0.32234976417385,0.244308227440342,0.168218159349635,0.263822382083163,0.645074178697541,0.750214025843889,0.809851630590856,0.38098315265961
0.779924690490589,0.808117998298258,0.595477800816298,0.682252603583038,0.944569221464917,0.809819112764671,0.667588985292241,0.70154822152108,0.653619886608794,0.561504513956606
0.824907929403707,0.808862441685051,0.510685169138014,0.273795749992132,0.405438641086221,0.33995205629617,0.850462390109897,0.608479286311194,0.91571144410409,0.596849751891568
0.0955190018285066,0.165143186226487,0.931602984201163,0.686971354065463,0.524468438699841,0.777576266555116,0.453480965225026,0.479483564849943,0.627655253047124,0.608396123396233
